ECG_ID,FOLD
1,3
2,2
3,1
4,4
5,2
6,2
7,1
8,4
9,1
10,2
11,1
12,1
13,0
14,4
15,2
16,0
17,1
18,0
19,2
20,4
21,2
22,4
23,0
24,1
25,1
26,2
27,3
28,3
29,1
30,1
31,4
32,0
33,2
34,4
35,4
36,4
37,4
38,1
39,1
40,4
41,3
42,3
43,0
44,3
45,3
46,2
47,2
48,0
49,3
50,3
51,0
52,3
53,1
54,4
55,3
56,0
57,3
58,2
59,2
60,4
61,0
62,2
63,3
64,0
65,1
66,2
67,3
68,2
69,4
70,4
71,4
72,1
73,4
74,1
75,2
76,0
77,3
78,1
79,2
80,2
81,4
82,4
83,0
84,1
85,2
86,3
87,2
88,4
89,1
90,0
91,1
92,3
93,2
94,2
95,0
96,0
97,2
98,1
99,1
100,3
101,2
102,1
103,1
104,1
105,2
106,1
107,4
108,2
109,1
110,3
111,1
112,3
113,2
114,3
115,1
116,3
117,1
118,4
119,3
120,1
121,0
122,3
123,3
124,0
125,1
126,4
127,0
128,4
129,0
130,3
131,4
132,4
133,4
134,4
135,3
136,3
138,4
144,0
146,4
147,2
148,2
149,1
150,2
151,2
152,0
153,1
154,0
155,1
156,2
157,4
158,3
159,1
160,0
161,0
162,3
163,1
164,3
165,4
166,1
167,4
168,2
169,3
170,4
171,4
172,1
173,3
174,4
175,4
176,3
177,0
178,3
179,3
180,2
181,3
182,4
183,4
184,1
185,1
186,1
187,2
188,1
189,1
190,2
191,4
192,0
193,0
194,0
195,2
196,1
197,3
198,2
199,4
200,4
201,2
202,2
203,3
204,0
205,1
206,3
207,3
208,2
209,1
210,3
211,3
212,0
213,3
214,4
215,4
216,0
217,0
218,4
219,3
220,2
221,1
222,0
223,1
224,2
225,1
226,1
227,4
228,4
229,2
230,1
231,3
232,1
233,3
234,0
235,1
236,3
237,0
238,0
239,3
240,4
241,1
242,2
243,1
244,2
245,1
246,1
247,4
248,4
249,2
250,0
251,4
252,4
253,4
254,1
255,2
256,4
257,4
258,3
259,3
260,3
261,1
262,0
263,2
264,2
265,2
266,1
267,2
268,0
269,4
270,4
271,4
272,2
273,1
274,4
275,3
276,0
277,4
278,0
279,3
280,0
281,3
282,1
283,3
284,3
285,0
286,4
287,1
288,2
289,1
290,4
291,4
292,0
293,2
294,3
295,3
296,4
297,0
298,1
299,1
300,0
301,0
302,4
303,4
304,2
305,3
306,4
307,4
308,4
309,4
310,4
311,0
312,1
313,4
314,2
315,0
316,3
317,4
318,0
319,1
320,2
321,4
322,4
323,4
324,0
325,1
326,4
327,3
328,4
329,4
330,0
331,1
332,1
333,3
334,2
335,2
336,1
337,4
338,3
339,0
340,0
341,1
342,2
343,4
344,0
345,4
346,3
347,0
348,3
349,0
350,1
351,4
352,1
353,1
354,1
355,4
356,0
357,2
358,1
359,1
360,4
361,0
362,3
363,2
364,0
365,3
366,2
367,1
368,4
369,1
370,4
371,3
372,2
373,4
374,1
375,3
376,0
377,2
378,4
379,4
380,1
381,3
382,1
383,4
384,1
385,3
386,1
387,2
388,1
389,1
390,2
391,3
392,0
393,4
394,4
395,4
396,4
397,3
398,2
399,0
400,4
401,1
402,1
403,0
404,3
405,4
406,4
407,1
408,2
409,2
410,4
411,3
412,1
413,2
414,0
415,0
416,0
417,4
418,2
419,1
